id,risk_level,risk_count,risk_ratio,created_at
1,LOW,67,67,2026-06-01 00:00:00
2,MEDIUM,33,33,2026-06-01 00:00:00
3,HIGH,0,0,2026-06-01 00:00:00
4,LOW,67,67,2026-06-02 00:00:00
5,MEDIUM,33,33,2026-06-02 00:00:00
6,HIGH,0,0,2026-06-02 00:00:00
7,LOW,66,66,2026-06-03 00:00:00
8,MEDIUM,34,34,2026-06-03 00:00:00
9,HIGH,0,0,2026-06-03 00:00:00
10,LOW,66,66,2026-06-04 00:00:00
11,MEDIUM,34,34,2026-06-04 00:00:00
12,HIGH,0,0,2026-06-04 00:00:00
13,LOW,64,64,2026-06-05 00:00:00
14,MEDIUM,36,36,2026-06-05 00:00:00
15,HIGH,0,0,2026-06-05 00:00:00
16,LOW,63,63,2026-06-06 00:00:00
17,MEDIUM,37,37,2026-06-06 00:00:00
18,HIGH,0,0,2026-06-06 00:00:00
19,LOW,61,61,2026-06-07 00:00:00
20,MEDIUM,39,39,2026-06-07 00:00:00
21,HIGH,0,0,2026-06-07 00:00:00
